,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Time (s)
XGBoost,0.8333333333333334,0.475,0.40425531914893614,0.4367816091954023,0.8103195796364889,2.040769100189209
Random Forest,0.8469387755102041,0.5357142857142857,0.3191489361702128,0.4,0.7973985700749419,1.205418586730957
Gradient Boosting,0.8707482993197279,0.6956521739130435,0.3404255319148936,0.45714285714285713,0.7972262899474545,8.467880725860596
Logistic Regression,0.7925170068027211,0.40540540540540543,0.6382978723404256,0.49586776859504134,0.7953312085450942,0.1582355499267578
